00-C0-4C	& TRADE|AU|
2C-B0-DF	# 683, 15th Cross|Bangalore Karnataka 560 078|IN|
F8-47-2D	# 89, Singlong Rd|Pin-Jhen City, 324|TW|
00-A0-3F	% APPLE COMPUTER, INC.|CUPERTINO CA 95014|US|
00-D0-4A	+ CO. KG|DE|
00-00-D3	00-00-B3 |1957 CROOKS ROAD|TROY MI 48084|US|
00-01-C8	00-00-F9 |5454 BEETHOVEN ST.|LOS ANGELES CA 90066|US|
00-01-2B	00-01-1C |10 Second St. NE|Minneapolis MN 55413|US|
00-15-6C	0-2 Heungan-daero 439 beon-gil Dongan-gu|Anyang-si Kyunggi-do 431-804|KR|
98-8E-4A	02-1205,11/F, No.2 Building,No.8,Worker’s Stadium North Road Chaoyang District|Beijing 100027|CN|
00-04-82	0-3, Toyamaken-Sangyou|JP|
00-0D-7F	04-12, Phase Z.Ro Technoprenuer Park|Singapore 139 347|SG|
00-50-F7	#05-01 Techplace II 569873|SG|
EC-AF-97	05655, GIT Bldg., 87, Macheon-ro, Songpa-gu, Seoul, Korea|Songpa-gu Seoul 05655|KR|
00-17-78	0711-0712 Tower D, SOHO New Town|Beijing 100022|CN|
08-00-3F	08-00-02 |2081 STIERLING ROAD|MOUNTAIN VIEW CA 94043|US|
00-00-BC	1 Allen-Bradley Dr.|Mayfield Heights OH 44124-6118|US|
00-02-18	1 Fl., No. 26, Industry East 9th Road|TAIWAN|TW|
00-02-D7	1 Signet Court|CB5 8LA|GB|
00-03-85	1 Bazel St., P.O.B. 10173|IL|
00-03-93	1 Infinite Loop|Cupertino CA 95014|US|
00-03-A4	1 Imation Place|Oakdale MN 55128-3414|US|
00-03-FF	1 Microsoft Way|Redmond WA 98052|US|
00-04-99	1 Mori, Fujioka City,|Zip: 375-8505|JP|
00-04-F0	1 Wenlock Way|UK|
00-05-02	1 Infinite Loop|Cupertino CA 95014|US|
00-05-5A	1 Hanagar St., P.O. Box 7220|IL|
00-06-60	1 Omiyamae, Tokushige,|Aichi 481-0038|JP|
00-06-DA	1 Azrieli Center,|Tel Aviv 67021 67021|IL|
00-0A-27	1 Infinite Loop|Cupertino CA 95014|US|
00-0A-95	1 Infinite Loop|Cupertino CA 95014|US|
00-0B-BD	1 Show Place|Christchurch|NZ|
00-0D-00	1 Chrysalis Way|Ottawa Ontario K2G 6P9|CA|
00-0D-35	1 Park Gate Close|Stockport Cheshire SK6 2SZ|GB|
00-0D-93	1 Infinite Loop|Cupertino CA 95014|US|
00-0F-8C	1 Jalan Kilang Timor|159303|SG|
00-10-FA	1 Infinite Loop|Cupertino CA 95014|US|
00-11-24	1 Infinite Loop|Cupertino CA 95014|US|
00-11-29	1 Wheaton Road|Witham Essex UK CM8 1UJ|GB|
00-11-B9	1 Millenium Court|Knoxfield Victoria 3180|AU|
00-11-CD	1 Fortune Drive|Billerica MA 02460|US|
00-12-85	1 Meadow Gate Avenue|Farnborough Hampshire GU14 6FG|GB|
00-12-8F	1 maskit st.|Hertzelia 46763|IL|
00-13-CF	1 N. LaSalle St.|Chicago IL 60602|US|
00-14-51	1 Infinite Loop|Cupertino CA 95014|US|
00-14-CB	1 E Broward Boulevard, Suite 1701|Fort Lauderdale Florida 33301|US|
00-15-F4	1 Alsan Way|Little Ferry NJ 07643|US|
00-16-9A	1 Bridewell Street|Bristol BS1 2AA|GB|
00-16-CB	1 Infinite Loop|Cupertino CA 95014|US|
00-17-38	1 Azrieli Center|Tel Aviv 67021|IL|
00-17-F2	1 Infinite Loop|Cupertino CA 95014|US|
00-18-CC	1 RUE D'ARCUEIL|MONTROUGE 92120|FR|
00-18-F1	1 Denjiyama|Nagoya Aichi 458-8525|JP|
00-19-24	1 Cyclotron Rd.|Berkeley CA 94720|US|
00-19-E3	1 Infinite Loop|Cupertino CA 95014|US|
00-1A-91	1 B.S.R. towers, 4-th floor|Ramat Gan 52573|IL|
00-1B-63	1 Infinite Loop|Cupertino CA 95014|US|
00-1C-B3	1 Infinite Loop|Cupertino CA 95014|US|
00-1C-D5	1 Monarch Drive|Littleton MA 01460|US|
00-1D-4F	1 Infinite Loop|Cupertino CA 95014|US|
00-1D-75	1 Albany Terrace|Regent's Park London NW1 4DS|GB|
00-1D-9C	1 Allen-Bradley Dr.|Mayfield Heights OH 44124-6118|US|
00-1E-52	1 Infinite Loop|Cupertino CA 95014|US|
00-1E-8A	1 Oracle Dr|Nashua NH 03062|US|
00-1E-C2	1 Infinite Loop|Cupertino CA 95014|US|
00-1F-5B	1 Infinite Loop|Cupertino CA 95014|US|
00-1F-77	1 bd d'armor|LANNION BRETAGNE 22300|FR|
00-1F-F3	1 Infinite Loop|Cupertino CA 95014|US|
00-20-8D	1 VANDERBILT|IRVINE CA 92718|US|
00-21-E9	1 Infinite Loop|Cupertino CA 95014|US|
00-22-03	1 - 6 Brooks Place|Maidstone Kent ME17 1UN|GB|
00-22-41	1 Infinite Loop|Cupertino CA 95014|US|
00-22-81	1 Dalmore Drive|Scoresby Victoria 3179|AU|
00-22-E9	1 Portland Square|Bristol BS2 8RR|GB|
00-23-12	1 Infinite Loop|Cupertino CA 95014|US|
00-23-32	1 Infinite Loop|Cupertino CA 95014|US|
00-23-6C	1 Infinite Loop|Cupertino CA 95014|US|
00-23-DF	1 Infinite Loop|Cupertino CA 95014|US|
00-24-1B	1 Lorong 2 Toa Payoh #04-01|319637|SG|
00-24-2E	1 Waterview Drive|Shelton CT 06484|US|
00-24-36	1 Infinite Loop|Cupertino CA 95014|US|
00-25-00	1 Infinite Loop|Cupertino CA 95014|US|
00-25-4B	1 Infinite Loop|Cupertino CA 95014|US|
00-25-BC	1 Infinite Loop|Cupertino CA 95014|US|
00-26-08	1 Infinite Loop|Cupertino CA 95014|US|
00-26-12	1 Rocket Road|Hawthorne CA 90250|US|
00-26-4A	1 Infinite Loop|Cupertino CA 95014|US|
00-26-B0	1 Infinite Loop|Cupertino CA 95014|US|
00-26-BB	1 Infinite Loop|Cupertino CA 95014|US|
00-27-02	1 Abba Eban St.|Herzelia 46725|IL|
00-30-65	1 Infinite Loop|Cupertino CA 95014|US|
00-30-7F	1 HATAMAR STREET|IL|
00-3E-E1	1 Infinite Loop|Cupertino CA 95014|US|
00-40-C6	1 TARA BOULEVARD-#405|NASHUA NH 03062|US|
00-50-E4	1 Infinite Loop|Cupertino CA 95014|US|
00-56-CD	1 Infinite Loop|Cupertino CA 95014|US|
00-5B-94	1 Infinite Loop|Cupertino CA 95014|US|
00-60-66	1 ere Avenue, 11 eme rue|06516 CARROS|FR|
00-60-75	1 PARK WAY|UPPER SADDLE RIVER NJ 07458|US|
00-61-71	1 Infinite Loop|Cupertino CA 95014|US|
00-6D-52	1 Infinite Loop|Cupertino CA 95014|US|
00-88-65	1 Infinite Loop|Cupertino CA 95014|US|
00-90-7D	1 Westbrook, Milton Road|IE|
00-A0-40	1 Infinite Loop|Cupertino CA 95014|US|
00-AD-24	1 Internal Business Park, #03-12,The Synergy, Singapore|Singapore Singapore 609917|SG|
00-B0-CE	1 rue Traversiere BP 20327|Rungis Cedex 94598|FR|
00-B3-62	1 Infinite Loop|Cupertino CA 95014|US|
00-C0-97	1 RUE DU BULLOZ|FR|
00-C0-AD	1 RUE DU BOIS CHALAND|FR|
00-C6-10	1 Infinite Loop|Cupertino CA 95014|US|
00-CD-FE	1 Infinite Loop|Cupertino CA 95014|US|
00-D0-D9	1 Thellow Heath Park|Northwich CW9 6JB|GB|
00-D0-E1	1 ETGAR STREET|IL|
00-DB-70	1 Infinite Loop|Cupertino CA 95014|US|
00-F4-B9	1 Infinite Loop|Cupertino CA 95014|US|
00-F7-6F	1 Infinite Loop|Cupertino CA 95014|US|
04-0C-CE	1 Infinite Loop|Cupertino CA 95014|US|
04-15-52	1 Infinite Loop|Cupertino CA 95014|US|
04-1A-04	1 Sky street|Misgav 20179|IL|
04-1E-64	1 Infinite Loop|Cupertino CA 95014|US|
04-26-65	1 Infinite Loop|Cupertino CA 95014|US|
04-48-9A	1 Infinite Loop|Cupertino CA 95014|US|
04-4B-ED	1 Infinite Loop|Cupertino CA 95014|US|
04-52-F3	1 Infinite Loop|Cupertino CA 95014|US|
04-54-53	1 Infinite Loop|Cupertino CA 95014|US|
04-69-F8	1 Infinite Loop|Cupertino CA 95014|US|
04-D3-CF	1 Infinite Loop|Cupertino CA 95014|US|
04-DB-56	1 Infinite Loop|Cupertino CA 95014|US|
04-E5-36	1 Infinite Loop|Cupertino CA 95014|US|
04-F1-3E	1 Infinite Loop|Cupertino CA 95014|US|
04-F7-E4	1 Infinite Loop|Cupertino CA 95014|US|
08-00-07	1 Infinite Loop|Cupertino CA 95014|US|
08-66-98	1 Infinite Loop|Cupertino CA 95014|US|
08-6D-41	1 Infinite Loop|Cupertino CA 95014|US|
08-70-45	1 Infinite Loop|Cupertino CA 95014|US|
08-74-02	1 Infinite Loop|Cupertino CA 95014|US|
08-8F-2C	1 Clyde Street|Silverwater New South Wales 2128|AU|
08-E6-89	1 Infinite Loop|Cupertino CA 95014|US|
08-F4-AB	1 Infinite Loop|Cupertino CA 95014|US|
08-F6-9C	1 Infinite Loop|Cupertino CA 95014|US|
0C-15-39	1 Infinite Loop|Cupertino CA 95014|US|
0C-30-21	1 Infinite Loop|Cupertino CA 95014|US|
0C-3E-9F	1 Infinite Loop|Cupertino CA 95014|US|
0C-41-3E	1 Microsoft Way|Redmond Washington 98052|FI|
0C-4D-E9	1 Infinite Loop|Cupertino CA 95014|US|
0C-51-01	1 Infinite Loop|Cupertino CA 95014|US|
0C-74-C2	1 Infinite Loop|Cupertino CA 95014|US|
0C-77-1A	1 Infinite Loop|Cupertino CA 95014|US|
0C-B6-D2	1 Internal Business Park, #03-12,The Synergy, Singapore|Singapore Singapore 609917|SG|
0C-BC-9F	1 Infinite Loop|Cupertino CA 95014|US|
0C-D7-46	1 Infinite Loop|Cupertino CA 95014|US|
0C-E7-25	1 Microsoft Way|Redmond Washington 98052|FI|
10-1C-0C	1 Infinite Loop|Cupertino CA 95014|US|
10-2F-6B	1 Microsoft Way|Redmond Washington 98052|FI|
10-30-25	1 Infinite Loop|Cupertino CA 95014|US|
10-40-F3	1 Infinite Loop|Cupertino CA 95014|US|
10-41-7F	1 Infinite Loop|Cupertino CA 95014|US|
10-62-EB	1 Internal Business Park, #03-12,The Synergy, Singapore|Singapore Singapore 609917|SG|
10-93-E9	1 Infinite Loop|Cupertino CA 95014|US|
10-94-BB	1 Infinite Loop|Cupertino CA 95014|US|
10-9A-DD	1 Infinite Loop|Cupertino CA 95014|US|
10-BE-F5	1 Internal Business Park, #03-12,The Synergy, Singapore|Singapore Singapore 609917|SG|
10-DD-B1	1 Infinite Loop|Cupertino CA 95014|US|
10-F1-63	1 Kasugayama.Iitoyo|Tenei-village.Iwase-country Fukushima-prefecture 962-0512|JP|
14-10-9F	1 Infinite Loop|Cupertino CA 95014|US|
14-20-5E	1 Infinite Loop|Cupertino CA 95014|US|
14-5A-05	1 Infinite Loop|Cupertino CA 95014|US|
14-60-CB	1 Infinite Loop|Cupertino CA 95014|US|
14-8F-C6	1 Infinite Loop|Cupertino CA 95014|US|
14-95-CE	1 Infinite Loop|Cupertino CA 95014|US|
14-99-E2	1 Infinite Loop|Cupertino CA 95014|US|
14-9A-10	1 Microsoft Way|Redmond Washington 98052|FI|
14-9D-99	1 Infinite Loop|Cupertino CA 95014|US|
14-BD-61	1 Infinite Loop|Cupertino CA 95014|US|
14-C2-13	1 Infinite Loop|Cupertino CA 95014|US|
